stratification_filename	stratification_type	md5_checksum
GRCh38_notinrefseq_cds.bed.gz	FunctionalRegions	2f46a534d45e2495951b26206a845835
GRCh38_refseq_cds.bed.gz	FunctionalRegions	2f05c497aafefd87cb58a45846f46f29
GRCh38_BadPromoters.bed.gz	FunctionalTechnicallyDifficultRegions	d33186eae7cd3551379da507d24b488f
GRCh38_gc15_slop50.bed.gz	GCcontent	fb1aa5576654f88a8b564911ac48108e
GRCh38_gc15to20_slop50.bed.gz	GCcontent	a60f6cb593db273a506e4a9c0b7d422c
GRCh38_gc20to25_slop50.bed.gz	GCcontent	e2271e811b21824ca83ff28421fba9ac
GRCh38_gc25to30_slop50.bed.gz	GCcontent	f970e5656168657c44482d24f4f74921
GRCh38_gc30to55_slop50.bed.gz	GCcontent	e1d5cebd4dcbbfb609698d1e74e42aeb
GRCh38_gc55to60_slop50.bed.gz	GCcontent	1af9f89efa17b09f54ccff5d41786ca0
GRCh38_gc60to65_slop50.bed.gz	GCcontent	a405d35e6bd72d47a8caf27aa6f02b91
GRCh38_gc65to70_slop50.bed.gz	GCcontent	27889f4da1e6d95ed10e26e47744a830
GRCh38_gc70to75_slop50.bed.gz	GCcontent	19185ffde70264d45acfa06627848105
GRCh38_gc75to80_slop50.bed.gz	GCcontent	4a5fbc2f6a77515afa06c64e7d765bf4
GRCh38_gc80to85_slop50.bed.gz	GCcontent	7d65696f6bfed24c144bc47569c4b44c
GRCh38_gc85_slop50.bed.gz	GCcontent	6f6f5329eaa83eccba7437b28f51cb9a
GRCh38_gclt25orgt65_slop50.bed.gz	GCcontent	42eb2d5b41178fe1a3a9133b28c3bcee
GRCh38_gclt30orgt55_slop50.bed.gz	GCcontent	acd8a97504bf7bd3d273e59e3b56c112
GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz	GenomeSpecific	1266b743b90c45d5f552f1fa67ed8f2b
GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz	GenomeSpecific	b138e122f2002e30d33caa293bf00c94
GRCh38_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	c16f18908d78fbb6eabd0fb5bdd14b85
GRCh38_HG001_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	8cdcece9e4c4eb73282cfe68bd9c728b
GRCh38_HG001_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	a37339b8e320ff3c2ec23347b2256f8f
GRCh38_HG001_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	ab11884bb1ef6e66e28d77e1659cc16b
GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz	GenomeSpecific	631a9e25d0aa47f5560d46722cc4d7e7
GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz	GenomeSpecific	3d6900033962a174b858674fe1722eae
GRCh38_HG001_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	90d81c85c6f9091f066b68db2f082ef7
GRCh38_HG001_PacBio_MetaSV.bed.gz	GenomeSpecific	b9f3a06106758c5d9dcedb7c4ff4a011
GRCh38_HG001_PG2016-1.0_comphetindel10bp_slop50.bed.gz	GenomeSpecific	8375c88c7f52ab52ab578f88eb8e65da
GRCh38_HG001_PG2016-1.0_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	e4271da3f6ca1a47599a5d77c44ddadd
GRCh38_HG001_PG2016-1.0_complexindel10bp_slop50.bed.gz	GenomeSpecific	2da2275bb5704b315fbf4eb7300d8b18
GRCh38_HG001_PG2016-1.0_snpswithin10bp_slop50.bed.gz	GenomeSpecific	6c111d15db96203331021de29b5b5a83
GRCh38_HG001_RTG_37.7.3_comphetindel10bp_slop50.bed.gz	GenomeSpecific	645c736a71e1e7b6bc41534312d4fd02
GRCh38_HG001_RTG_37.7.3_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	b80149960745433baf96213382e8a521
GRCh38_HG001_RTG_37.7.3_complexindel10bp_slop50.bed.gz	GenomeSpecific	f0df3c87a631978e3ba79dd8f3a88405
GRCh38_HG001_RTG_37.7.3_snpswithin10bp_slop50.bed.gz	GenomeSpecific	12d6af895051492f80bb043e4d81172d
GRCh38_HG002_GIABv4.1_CNV_CCSandONT_elliptical_outlier.bed.gz	GenomeSpecific	87dca1fc7781f653be62aac8dab0040c
GRCh38_HG002_GIABv4.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	GenomeSpecific	a372648f94c65b8ff54fdec11593f9a1
GRCh38_HG002_expanded_150__Tier1plusTier2_v0.6.1.bed.gz	GenomeSpecific	b7e469f799d8cbbc3e16659c6f93f047
GRCh38_HG002_GIABv3.2.2_compoundhet_slop50.bed.gz	GenomeSpecific	459859e707ca1fb524554fd61636e1a9
GRCh38_HG002_GIABv3.2.2_varswithin50bp.bed.gz	GenomeSpecific	4ba64b7f0ef98e6d2f1702524a03c5ba
GRCh38_HG002_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	4e045628427449bc29f2fa7671f483e2
GRCh38_HG002_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	6b11b628f410f19685fbd2dfbcdbcf28
GRCh38_HG002_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	1c5702cc0da1f9cf3840f4e5fd9d1df8
GRCh38_HG002_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	b7fcd6bed50112bdf0f6351caeac398f
GRCh38_HG002_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	3f1da0d041287f5e331956fb7c74554b
GRCh38_HG002_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	af5633ec975d414fe4c0aecb0eac403a
GRCh38_HG002_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	24bbb4084878675fed492b85c5283876
GRCh38_HG002_GIABv4.1_CNVsandSVs.bed.gz	GenomeSpecific	d35089d586dc57a22b0c62767090247e
GRCh38_HG002_GIABv4.1_comphetindel10bp_slop50.bed.gz	GenomeSpecific	900471a88e8c39e617a51066a4cf7135
GRCh38_HG002_GIABv4.1_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	f12f85f0759e64e65b1ff51cdf353ccd
GRCh38_HG002_GIABv4.1_complexandSVs.bed.gz	GenomeSpecific	df1d0677d32e66c8d157988b88a18e52
GRCh38_HG002_GIABv4.1_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	28c30a4d46903a8fb1629701ab2be861
GRCh38_HG002_GIABv4.1_complexindel10bp_slop50.bed.gz	GenomeSpecific	a82da13ed779093ea82482a8669df47c
GRCh38_HG002_GIABv4.1_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	0541b398290dcbc438fc737954a5ffc7
GRCh38_HG002_GIABv4.1_othercomplexwithin10bp_slop50.bed.gz	GenomeSpecific	51089011a9363e4e19bfae7f85458c83
GRCh38_HG002_GIABv4.1_snpswithin10bp_slop50.bed.gz	GenomeSpecific	fdd64ab550393dd8dc15a4aee06c7c4c
GRCh38_HG002_HG003_HG004_allsvs.bed.gz	GenomeSpecific	a5dc28d607db1faf7bccf759790ff865
GRCh38_HG002_GIABv4.1_CNV_gt2assemblycontigs_ONTCanu_ONTFlye_CCSCanu.bed.gz	GenomeSpecific	d759aa90506797d139d5b30bd3b256e2
GRCh38_HG002_GIABv4.1_inversions_slop25percent.bed.gz	GenomeSpecific	ca46f70811964048c2da20244f98a86e
GRCh38_HG002_Tier1plusTier2_v0.6.1.bed.gz	GenomeSpecific	79da3d04f53f825335c8d8a9717ef8cd
GRCh38_HG003_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	385c03ce262d921542a7c6ebc470bdef
GRCh38_HG003_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	7abfca80641728de024710a87fd064da
GRCh38_HG003_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	df4c95f83afbc7b8ecd4aa081f1578d5
GRCh38_HG003_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	c36edc0c385af1cfdbf99d1b1f782b0f
GRCh38_HG003_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	b4ef4038c0c638641f7b3bafe8dea719
GRCh38_HG003_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	e2c4c766ea5449ac74a89cea0dabf202
GRCh38_HG003_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	d2177095e83f1593e0f466e49b5ed9b9
GRCh38_HG004_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	1fa36cd3f40082791cc8942a14ae58e2
GRCh38_HG004_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	6dd3290b1035a7a88589de5efa561df8
GRCh38_HG004_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	95b2558ef16ebfe0acd13978d3225030
GRCh38_HG004_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	44be89cbf38b798c046775dca13f9d50
GRCh38_HG004_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	3bbc40cfbf8a25b3ab8561ae5c0a5560
GRCh38_HG004_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	bb83e9ef4284bd0dea012ecb4a418645
GRCh38_HG004_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	bc47cf0590f8057584c3f147e252beb6
GRCh38_HG005_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific	e0c61c54aaad9d0bba9de7f22590ab81
GRCh38_HG005_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific	6b3fa38a7dde32b25d028be89948f662
GRCh38_HG005_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific	43419f7b78fb5859f49f0a8941adf94b
GRCh38_HG005_GIABv3.3.2_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	64d62653b66e09ced31bff80b8798acd
GRCh38_HG005_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific	427fdead26d66546fb7098a3da36d7bc
GRCh38_HG005_GIABv3.3.2_notin_complexandSVs_alldifficultregions.bed.gz	GenomeSpecific	c84fa0dd1a874bd2fe1ae306469793d5
GRCh38_HG005_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific	d7942249cda09025dc92089cff9bb8ca
GRCh38_HG005_HG006_HG007_MetaSV_allsvs.bed.gz	GenomeSpecific	bf5fd59342d61d82b4925c0c2d658cc9
GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	LowComplexity	df2759867268f613c4b5d3043556b7aa
GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz	LowComplexity	d031dd132534d047bedf167d59d66070
GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz	LowComplexity	e47464b9736943531ad6bc5488aaea5a
GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz	LowComplexity	e4b5375c628cc69731135346b57d851f
GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz	LowComplexity	2060e30642c311bd07767e8b49f82e82
GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz	LowComplexity	bf1c01ed1cf577b28b55d178d1206fcf
GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz	LowComplexity	d11a4315e2dc23d3f2081d64bb6f99ae
GRCh38_notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	LowComplexity	1c20e6fd094cb2eace0cd73f232b9655
GRCh38_notinAllTandemRepeatsandHomopolymers_slop5.bed.gz	LowComplexity	47475f7d4f4acdb9a63735feb95aaf8e
GRCh38_SimpleRepeat_diTR_11to50_slop5.bed.gz	LowComplexity	3d0f42cc74cc1f9f279fb5cb0b50a77c
GRCh38_SimpleRepeat_diTR_51to200_slop5.bed.gz	LowComplexity	0e2c8c232e468d91a7d73f8b18e74d56
GRCh38_SimpleRepeat_diTR_gt200_slop5.bed.gz	LowComplexity	c5459a6577a0421f810b03df847e3c21
GRCh38_SimpleRepeat_homopolymer_4to6_slop5.bed.gz	LowComplexity	badb0c44d34b6478ec24f3f0af7198b3
GRCh38_SimpleRepeat_homopolymer_7to11_slop5.bed.gz	LowComplexity	f0b0cd3a8812a1e182df318fcceb5e2f
GRCh38_SimpleRepeat_homopolymer_gt11_slop5.bed.gz	LowComplexity	79f6eee69795e4be5b0cf4fbdbe4e1a0
GRCh38_SimpleRepeat_imperfecthomopolgt10_slop5.bed.gz	LowComplexity	ad3c964085cb5a166021bb7dea88be52
GRCh38_SimpleRepeat_quadTR_20to50_slop5.bed.gz	LowComplexity	1bc6ecfe9d9da7a50a21e111a2d79896
GRCh38_SimpleRepeat_quadTR_51to200_slop5.bed.gz	LowComplexity	8aa5e390ae8edb531997835e817ada94
GRCh38_SimpleRepeat_quadTR_gt200_slop5.bed.gz	LowComplexity	c24711561fbe8144ae30f2e2943208c1
GRCh38_SimpleRepeat_triTR_15to50_slop5.bed.gz	LowComplexity	a9ce39549fabcb24fcbc4d098bac9ff4
GRCh38_SimpleRepeat_triTR_51to200_slop5.bed.gz	LowComplexity	9e0b15e0cd6076cc18134e1a05ef3613
GRCh38_SimpleRepeat_triTR_gt200_slop5.bed.gz	LowComplexity	f36155612017f33652081933dfd3304d
